############################################################
#
# Nuclide : Pb204
#
#
# 1D-data stored in GroupDataSet
#
#E_up     total     (n,2n)    capture   mu        elastic   inelastic 
1.930e+04 1.161e+01 0.000e+00 2.163e-02 1.082e-02 1.158e+01 0.000e+00 
1.503e+04 1.078e+01 0.000e+00 3.125e-02 9.020e-03 1.074e+01 0.000e+00 
1.171e+04 1.099e+01 0.000e+00 2.434e-02 7.614e-03 1.097e+01 0.000e+00 
9.119e+03 1.100e+01 0.000e+00 8.341e-04 6.597e-03 1.100e+01 0.000e+00 
7.102e+03 1.110e+01 0.000e+00 9.896e-04 5.824e-03 1.110e+01 0.000e+00 
5.531e+03 1.119e+01 0.000e+00 1.172e-03 5.222e-03 1.119e+01 0.000e+00 
4.307e+03 1.125e+01 0.000e+00 1.390e-03 4.753e-03 1.125e+01 0.000e+00 
3.355e+03 1.154e+01 0.000e+00 1.398e-01 4.388e-03 1.140e+01 0.000e+00 
2.613e+03 1.134e+01 0.000e+00 1.876e-03 4.103e-03 1.134e+01 0.000e+00 
2.035e+03 1.137e+01 0.000e+00 2.163e-03 3.881e-03 1.137e+01 0.000e+00 
1.585e+03 1.140e+01 0.000e+00 2.489e-03 3.708e-03 1.139e+01 0.000e+00 
1.234e+03 1.142e+01 0.000e+00 2.856e-03 3.574e-03 1.141e+01 0.000e+00 
9.611e+02 1.143e+01 0.000e+00 3.269e-03 3.491e-03 1.143e+01 0.000e+00 
7.485e+02 1.145e+01 0.000e+00 3.734e-03 3.438e-03 1.144e+01 0.000e+00 
5.829e+02 1.145e+01 0.000e+00 4.258e-03 3.396e-03 1.145e+01 0.000e+00 
4.540e+02 1.146e+01 0.000e+00 4.848e-03 3.363e-03 1.146e+01 0.000e+00 
3.536e+02 1.147e+01 0.000e+00 5.516e-03 3.338e-03 1.146e+01 0.000e+00 
2.754e+02 1.147e+01 0.000e+00 6.268e-03 3.318e-03 1.147e+01 0.000e+00 
2.145e+02 1.148e+01 0.000e+00 7.118e-03 3.303e-03 1.147e+01 0.000e+00 
1.670e+02 1.148e+01 0.000e+00 8.081e-03 3.291e-03 1.147e+01 0.000e+00 
1.301e+02 1.148e+01 0.000e+00 9.172e-03 3.282e-03 1.148e+01 0.000e+00 
1.013e+02 1.149e+01 0.000e+00 1.040e-02 3.274e-03 1.148e+01 0.000e+00 
7.889e+01 1.149e+01 0.000e+00 1.180e-02 3.269e-03 1.148e+01 0.000e+00 
6.144e+01 1.149e+01 0.000e+00 1.338e-02 3.264e-03 1.148e+01 0.000e+00 
4.785e+01 1.150e+01 0.000e+00 1.517e-02 3.261e-03 1.148e+01 0.000e+00 
